4 8 15 16 23 42,6.842014,80.001936,Rest Area,Travel & Transport,41,1
wasana bakers,6.841860,80.003603,Bakery,Food,1,1
Dinena book shop,6.841730,80.003429,Bookstore,Shop & Service,1,1
akarawita lane,6.842225,80.002007,Neighborhood,Outdoors & Recreation,1,1
Siyabalawa,6.840405,80.142647,Assisted Living,Residence,1,1
La Langousterie,6.834370,79.862100,Seafood Restaurant,Food,1,1
Some Fruit Salad Shop,6.830842,79.868650,Juice Bar,Food,2,1
Sonit and Fair Group,6.834175,79.867169,Taxi,Travel & Transport,2,1
Ranji Aiya's Bath Kade,6.832494,79.866540,Diner,Food,1,1
Malwenna Flowers,6.833555,79.867200,Flower Shop,Shop & Service,2,1
Gayan's Appartment,6.829432,79.874495,Residential Building (Apartment / Condo),Residence,37,1
Sparkle Link pvt Ltd,6.834205,79.881363,Clothing Store,Shop & Service,2,1
Associated Battery Manufacturers,6.828918,79.880850,Factory,Professional & Other Places,1,1
Templers Groove,6.832191,79.884450,Housing Development,Residence,1,1
Mendis Family Place,6.833115,79.906342,Residential Building (Apartment / Condo),Residence,16,1
Saloon Shaa,6.826870,79.912521,Health & Beauty Service,Shop & Service,5,1
DPMC Head office,6.833967,79.908432,Coworking Space,Professional & Other Places,1,1
Mahanama Reception Hall,6.830632,79.962250,Wedding Hall,Professional & Other Places,1,1
katuwana service station,6.833143,80.004046,Gas Station,Shop & Service,1,1
Bope,6.830082,80.143215,City,Outdoors & Recreation,1,1
Sandupa's Boarding Place,6.824012,79.877800,Residential Building (Apartment / Condo),Residence,23,1
Kandawala Mawatha,6.820225,79.881912,Road,Travel & Transport,15,1
Carlwil Place,6.820231,79.881896,Road,Travel & Transport,27,1
"Department Of Electrical, Electronic &  Telecommunication Engineering",6.820376,79.891590,College Engineering Building,College & University,3,1
Aroma Hotel,6.819308,79.917700,Food Court,Food,1,1
Lisali,6.824322,79.913905,Car Wash,Shop & Service,4,1
Nandana Stores,6.824498,79.930706,Grocery Store,Shop & Service,4,1
Gami Gedara(Vishwa Sport Club),6.817521,79.946870,Volleyball Court,Outdoors & Recreation,4,1
Rathmalana residence,6.820313,79.867733,Residential Building (Apartment / Condo),Residence,34,1
in prius car,6.818125,79.869427,Cable Car,Travel & Transport,1,1
Ratmalana Vijitha Cinema Bus Stop,6.817437,79.875340,Bus Stop,Travel & Transport,4,1
KVG Electronics,6.815565,79.877160,Electronics Store,Shop & Service,1,1
Opposite Vijitha - Bus Stop,6.817348,79.875010,Bus Stop,Travel & Transport,1,1
Telecommunication Engineering Laboratory - General Sir John Kotelawala Defence University,6.818101,79.890830,College Lab,College & University,5,1
golden grain enterprises,6.808826,79.920694,Market,Shop & Service,11,1
subway,6.808694,79.921628,Nightclub,Nightlife Spot,1,1
Piliyandala Bypass Road,6.809354,79.920730,Road,Travel & Transport,1,1
Salgaha Junction,6.811620,79.943690,Bus Stop,Travel & Transport,3,1
St. Jude's Church,6.812067,79.972270,Housing Development,Residence,5,1
Salon Jayantha,6.814524,79.973766,Health & Beauty Service,Shop & Service,3,1
Car Wash,6.810324,79.976103,Car Wash,Shop & Service,5,1
Esko Food Center,6.813427,79.974405,Fast Food Restaurant,Food,2,1
Maligawa Road Bus Halt,6.808096,79.883405,Bus Stop,Travel & Transport,4,1
"Room 211, New Hostel Complex",6.800577,79.901130,Residential Building (Apartment / Condo),Residence,6,1
"Room 209, New Hostal Complex",6.800934,79.901070,College Residence Hall,College & University,5,1
Power World Gym,6.799851,79.924427,Gym / Fitness Center,Outdoors & Recreation,26,1
Grama Niladari Office -Piliyandala,6.799912,79.923147,Embassy / Consulate,Professional & Other Places,1,1
255 Bus Halt-Piliyandala,6.801528,79.924186,Bus Stop,Travel & Transport,34,1
Salon Thisari,6.799777,79.924870,Salon / Barbershop,Shop & Service,5,1
Lady Center,6.800753,79.923706,Clothing Store,Shop & Service,1,1
Puwakaramba Group Of Companies,6.792144,79.886960,Business Center,Professional & Other Places,2,1
Bandaranayake Mawatha,6.797556,79.889770,Road,Travel & Transport,1,1
House of Flora,6.794797,79.905099,Flower Shop,Shop & Service,1,1
Centre for Instructional Technology,6.796007,79.903733,IT Services,Shop & Service,1,1
Faculty of IT - Lab 4,6.795526,79.902940,College Lab,College & University,1,1
Star Adz,6.798487,79.927242,Design Studio,Shop & Service,1,1
YMBA Ground,6.798905,79.932739,Playground,Outdoors & Recreation,2,1
Liberty Park | Kesbewa,6.791073,79.938800,Housing Development,Residence,28,1
Saloon Aakash,6.794233,79.940373,Salon / Barbershop,Shop & Service,5,1
"Meditation Centre, Rawathawatta.",6.789067,79.884176,Buddhist Temple,Professional & Other Places,3,1
Idalgaswatta road,6.789598,79.959185,Road,Travel & Transport,331,1
Dream World,6.778621,79.881880,Transportation Service,Travel & Transport,11,1
Madapatha Medicare,6.778932,79.925230,Medical Center,Professional & Other Places,2,1
Malin Traders,6.780883,79.997387,Bus Station,Travel & Transport,2,1
Bolgoda Lake,6.763068,79.908455,Lake,Outdoors & Recreation,1,1
AJ Motors,6.746486,79.890480,Auto Garage,Shop & Service,15,1
Y.S. C Enterprises,6.728155,79.905176,Automotive Shop,Shop & Service,14,1
lakmal transport,6.731113,79.904791,General Travel,Travel & Transport,1,1
St. John's Girl School,6.721346,79.906060,College Academic Building,College & University,1,1
Matara Bath Kade - Panadura,6.712226,79.908729,Sri Lankan Restaurant,Food,45,1
Panadura Matara Expressway bus Halt,6.714197,79.907660,Bus Line,Travel & Transport,3,1
"Railway Station Road, Panadura",6.714122,79.904755,Road,Travel & Transport,18,1
BMC Hardware,6.712112,79.906448,Hardware Store,Shop & Service,3,1
Ruwana Tailors,6.713910,79.905914,Men's Store,Shop & Service,1,1
Textured Jersey Canteen,6.973312,80.211831,Cafeteria,Food,1,1
